episode:1200, reward:-0.003277417401472728, actor loss:-0.009529444389045238, critic loss:0.0006552643608301878
episode:1210, reward:1.5012941978872558, actor loss:0.13908322155475616, critic loss:0.030830537900328636
episode:1220, reward:-0.016909635066986086, actor loss:-0.004001936409622431, critic loss:0.0017284916248172522
episode:1230, reward:6.132243494990177, actor loss:0.10437542200088501, critic loss:0.0600644052028656
episode:1240, reward:6.132788237335983, actor loss:0.1958838403224945, critic loss:0.05907862260937691
episode:1250, reward:0.7387501029173533, actor loss:0.058681003749370575, critic loss:0.05068231374025345
episode:1260, reward:0.9348804680506388, actor loss:0.03235136717557907, critic loss:0.05192820355296135
episode:1270, reward:6.079796956780259, actor loss:0.08929844200611115, critic loss:0.057239167392253876
episode:1280, reward:6.0397573924091486, actor loss:0.16582848131656647, critic loss:0.05609288811683655
episode:1290, reward:0.7360781172911325, actor loss:0.029783915728330612, critic loss:0.05188417434692383
episode:1300, reward:0.9674871806303659, actor loss:0.020754754543304443, critic loss:0.05329164117574692
episode:1310, reward:-0.014245022535324097, actor loss:-0.3807055354118347, critic loss:0.03756321966648102
episode:1320, reward:0.7551473752657573, actor loss:0.030987998470664024, critic loss:0.05233250930905342
episode:1330, reward:0.9159575204054513, actor loss:0.04883585125207901, critic loss:0.05202048271894455
episode:1340, reward:-0.01973192095756531, actor loss:-0.031211059540510178, critic loss:0.04699074476957321
episode:1350, reward:-0.019776722192764284, actor loss:-0.021589841693639755, critic loss:0.0464375764131546
episode:1360, reward:0.7269212381045024, actor loss:0.022975917905569077, critic loss:0.051084063947200775
episode:1370, reward:0.7267332748572033, actor loss:0.020681174471974373, critic loss:0.05118939280509949
episode:1380, reward:6.002399612667865, actor loss:0.09418123960494995, critic loss:0.056320857256650925
episode:1390, reward:6.002194042208498, actor loss:0.10350469499826431, critic loss:0.0560547411441803
episode:1400, reward:6.00208292007715, actor loss:0.0954555943608284, critic loss:0.05550725385546684
episode:1410, reward:5.999730479719941, actor loss:0.07567480206489563, critic loss:0.055880893021821976
episode:1420, reward:-0.019997351169586182, actor loss:-0.022802403196692467, critic loss:0.0520893931388855
episode:1430, reward:0.9070083300272624, actor loss:0.021553922444581985, critic loss:0.05152660608291626
episode:1440, reward:0.9083429209391277, actor loss:0.018957030028104782, critic loss:0.051446735858917236
episode:1450, reward:6.004079402687851, actor loss:0.07821812480688095, critic loss:0.057009898126125336
episode:1460, reward:0.7353514854113261, actor loss:0.019437339156866074, critic loss:0.05207628756761551
episode:1470, reward:6.058232929709259, actor loss:0.09361225366592407, critic loss:0.05654414743185043
episode:1480, reward:6.017091478112047, actor loss:0.075696662068367, critic loss:0.055525727570056915
episode:1490, reward:0.9106595508257547, actor loss:0.012647646479308605, critic loss:0.05441444367170334
episode:1500, reward:0.9132092372576394, actor loss:0.013863173313438892, critic loss:0.05533502623438835
episode:1510, reward:-0.019056546688079833, actor loss:-0.029279667884111404, critic loss:0.0838538333773613
episode:1520, reward:0.752140636841456, actor loss:0.02283502370119095, critic loss:0.05383642762899399
episode:1530, reward:6.236674499514406, actor loss:0.11372202634811401, critic loss:0.056988827884197235
episode:1540, reward:6.034426791670626, actor loss:0.08392489701509476, critic loss:0.05658410117030144
episode:1550, reward:0.9236415926615397, actor loss:0.0190504752099514, critic loss:0.05289693549275398
episode:1560, reward:6.0786524963405775, actor loss:0.07658414542675018, critic loss:0.056653253734111786
episode:1570, reward:0.7478600386778514, actor loss:0.01626157946884632, critic loss:0.054712288081645966
episode:1580, reward:0.7920072440306346, actor loss:0.01856466382741928, critic loss:0.05581098049879074
episode:1590, reward:-0.016763917803764343, actor loss:-0.021910542622208595, critic loss:0.02409140206873417
episode:1600, reward:0.7656770996252695, actor loss:0.020323466509580612, critic loss:0.05301330238580704
episode:1610, reward:-0.014898054599761963, actor loss:-0.023409953340888023, critic loss:0.05464650318026543
episode:1620, reward:0.9494040711720786, actor loss:0.022137252613902092, critic loss:0.05338054150342941
episode:1630, reward:-0.016992855072021484, actor loss:-0.024688944220542908, critic loss:0.06000996381044388
episode:1640, reward:1.0745929044613642, actor loss:0.048245619982481, critic loss:0.04648495465517044
episode:1650, reward:-0.004419081807136536, actor loss:-0.018451876938343048, critic loss:0.032979123294353485
episode:1660, reward:6.302613090279404, actor loss:0.08491022139787674, critic loss:0.06033670902252197
episode:1670, reward:-0.018677914738655092, actor loss:-0.01738477125763893, critic loss:0.015132305212318897
episode:1680, reward:-0.0024476857483386994, actor loss:-0.014524897560477257, critic loss:0.01996845379471779
episode:1690, reward:0.35522004850875194, actor loss:0.007168188691139221, critic loss:0.06496639549732208
episode:1700, reward:-0.0014650721848011017, actor loss:-0.009325208142399788, critic loss:0.008504851721227169
episode:1710, reward:-0.005955674052238465, actor loss:-0.006414728704839945, critic loss:0.003980440553277731
episode:1720, reward:-0.0012275220453739166, actor loss:-0.005815495736896992, critic loss:0.0031378399580717087
episode:1730, reward:-0.006679102778434753, actor loss:-0.006992357317358255, critic loss:0.004715410992503166
episode:1740, reward:-0.005439481139183045, actor loss:-0.0062803057953715324, critic loss:0.0038082445971667767
episode:1750, reward:0.11080433209737142, actor loss:-0.00015304246335290372, critic loss:0.003578808158636093
episode:1760, reward:0.09591230660676957, actor loss:-0.0006126618245616555, critic loss:0.00583867821842432
episode:1770, reward:-0.008405839204788209, actor loss:-0.0051333243027329445, critic loss:0.002537952270358801
episode:1780, reward:-0.01752732276916504, actor loss:-0.0088729877024889, critic loss:0.008090274408459663
episode:1790, reward:5.478522325756852, actor loss:0.107940174639225, critic loss:0.03889508545398712
episode:1800, reward:5.442579689028566, actor loss:0.0756407231092453, critic loss:0.03781281039118767
episode:1810, reward:1.085247273047765, actor loss:0.046520888805389404, critic loss:0.043901994824409485
episode:1820, reward:5.435787386896913, actor loss:0.07244232296943665, critic loss:0.03604362905025482
episode:1830, reward:1.0755728419621786, actor loss:0.030692290514707565, critic loss:0.04430033266544342
episode:1840, reward:5.442771943810288, actor loss:0.07176309823989868, critic loss:0.03600673750042915
